2.21,4.68,GILES VOICEOVER,Previously on "Buffy the Vampire Slayer":
5.29,9.13,TRAVERS,Whenever a slayer turns 18.
5.29,9.13,TRAVERS,It's a timehonoured rite of passage.
9.21,11.36,GILES,It's an archaic exercise in cruelty.
11.45,12.46,GILES,We're finished.
12.46,14.76,TRAVERS,Not quite. She passed. You didn't.
14.85,19.32,TRAVERS,I have recommended to the Council that
14.85,19.32,TRAVERS,you be relieved of your duties as Watcher.
19.41,20.45,TRAVERS,You're fired.
20.53,22.72,WESLEY,The Council's orders are to concentrate...
22.72,24.85,BUFFY,I don't think I'm taking any more orders.
24.93,30.25,BUFFY,"Tell your Council, until the next slayer comes"
24.93,30.25,BUFFY,"along, I'm not working for them any more."
30.33,32.52,BUFFY,What about the Key? They all over it?
32.52,33.64,GILES,They're interested.
33.73,37.61,BUFFY,But they didn't guess about Dawn?
33.73,37.61,BUFFY,They don't know that it's her?
37.69,38.49,BUFFY,No.
41.77,44.21,BUFFY VOICEOVER,"Here, I'll get that. Sorry."
44.77,48.13,BUFFY,Mom's still not 100 per cent
44.77,48.13,BUFFY,and I haven't been taking up the slack.
48.21,50.85,WILLOW,"No, the place looks fine, Buffy."
50.85,52.41,TARA,"Yeah, it's just us."
55.01,57.69,XANDER,That must have belonged to...
57.77,60.53,XANDER,Aren't we supposed to have a meeting?
62.05,64.85,XANDER,"Yes, we're here for a reason."
64.93,68.32,GILES,I've had some rather...
64.93,68.32,GILES,"Well, I've had some news."
68.41,70.72,GILES,It seems that the Council of Watchers
70.81,74.2,GILES,has found some information
70.81,74.2,GILES,that may help us out.
74.29,75.45,BUFFY,About Glory?
75.45,76.52,GILES,Presumably.
76.61,79.61,GILES,We'll find out when they arrive.
76.61,79.61,GILES,Could be very important.
79.69,84.24,BUFFY,Arrive? They're coming here? Now?
79.69,84.24,BUFFY,Why do they have to come here?
84.33,88.37,XANDER,"Don't they have phones? ""'AIIo, Buffy!"
84.33,88.37,XANDER,"Here's some stuff we know, pip pip."""
88.45,90.73,BUFFY,Yeah! Phones. I'd like them on phones.
90.81,93.53,TARA,What's so bad about them?
90.81,93.53,TARA,Aren't they good guys?
93.61,96.37,TARA,"I mean, watchers,"
93.61,96.37,TARA,"that's like other Gileses, right?"
96.45,99.6,BUFFY,"Yeah, they're scary and horrible."
100.73,103.12,GILES,"They can appear a bit... well, hardnosed."
103.21,107.92,GILES,But their agenda is the same as ours.
103.21,107.92,GILES,They want to save the world and kill demons.
108.01,111.37,ANYA,"Kill the current demons, right?"
108.01,111.37,ANYA,Current demons.
111.45,115.53,BUFFY,"Giles, I don't want them to come here."
111.45,115.53,BUFFY,I don't trust them. Make them not come here.
115.61,121.29,GILES,They're already on their way. Our old friend
115.61,121.29,GILES,Quentin Travers is heading up a delegation.
121.37,123.52,BUFFY,Their test almost killed me.
123.61,124.74,GILES,"And when I was Faith,"
124.74,126.25,BUFFY,they almost killed me again.
126.33,128.64,BUFFY,I can't handle almost being killed right now.
128.73,133.49,ANYA,I don't like the sound of this.
128.73,133.49,ANYA,They don't sound very exdemoncompatible.
133.57,139.13,TARA,Are you sure they're English? I thought
133.57,139.13,TARA,they were gentler than normal people.
139.21,144.08,WILLOW,"Maybe it won't be so bad this time. I mean,"
139.21,144.08,WILLOW,"Buffy, they did think you were Faith last time."
