,2.25495833333333
ANYA,32.72725
BEN,28.8897291666667
BUFFY,166.569375
BUFFY VOICEOVER,2.3459375
DAWN,61.7708541666667
DOCTOR,26.0174583333333
GILES,48.7707083333333
GILES VOICEOVER,1.2195625
GLORY,145.116395833333
JINX,6.85427083333333
MONK,3.03760416666667
MURK,5.90895833333333
PRINCIPAL,12.962875
PROFESSOR,12.9357916666667
QUENTIN TRAVERS VOICEOVER,1.11272916666667
SLOOK,22.9615833333333
SPIKE,31.5084166666667
SPIKE VOICEOVER,1.74385416666667
TARA,76.81625
WILLOW,129.468208333333
XANDER,23.8806458333333
