,4.26245833333333
19 EXT. SUNNYDALE CEMETERY - NIGHT,2.5296875
21 INT. BUFFY'S CUBICLE AT SUNNYDALE HIGH - DAY,3.17289583333333
41 INT. UPSTAIRS HALLWAY AT BUFFY'S HOUSE - NIGHT,12.76025
ACT I,0.5386875
AMANDA,123.870979166667
AMANDA (O.S.),1.73827083333333
ANDREW,31.8353958333333
ANYA,43.9357708333333
ANYA (O.S.),1.40535416666667
BUFFY,165.232583333333
BUFFY (V.O.),1.27204166666667
BUFFY/FIRST,3.25589583333333
CLEM,5.5179375
DAWN,169.7613125
DEMON,3.0530625
EVE/FIRST,4.55295833333333
GILES,5.03554166666667
GILES (V.O.),3.70877083333333
KENNEDY,22.1805
KENNEDY (O.S.),2.069125
MOLLY,14.7719166666667
PROLOGUE,2.30670833333333
RONA,33.4083125
SPIKE,31.8625416666667
VAMPIRE,0.314916666666667
VI,20.7624583333333
WILLOW,91.7355416666667
WILLOW (O.S.),9.3115
XANDER,95.5198958333333
XANDER (O.S.),6.74327083333333
