,43.6169791666667
ACT I,0.647916666666667
ANDREW,47.4082291666667
ANDREW & XANDER,0.7190625
ANNABELLE,12.8177708333333
ANNABELLE/GIRL #2,1.74466666666667
ANYA,36.40825
BUFFY,138.483895833333
BUFFY (O.S.),1.3649375
BUFFY/FIRST,4.20714583333333
DAWN,36.989625
DRUSILLA/FIRST,88.7184791666667
GILES,133.570625
GILES (O.S.),7.5890625
GILES (V.O.),1.50875
GIRL #1,4.06354166666667
GIRL #3,13.117875
JONATHAN,1.8555
JOYCE,42.5440208333333
JOYCE (O.S.) ,1.21725
KENNEDY,14.0805625
MOLLY,6.0176875
PRINCIPAL,38.3260625
ROBSON,1.53529166666667
SPIKE,13.0269583333333
SPIKE/FIRST,6.045
TEEN BOY,1.9253125
WARREN,1.006125
WILLOW,56.362
WILLOW (O.S.),7.654125
XANDER,48.2438541666667
XANDER (O.S.),2.04802083333333
