,13.1086666666667
ANGEL,0.426333333333333
ANYA,77.934375
BEN,18.4807708333333
BUFFY,136.832416666667
BUFFY VOICEOVER,20.6718125
CORDELIA,0.471916666666667
DAWN,45.8893125
DOC,28.2447708333333
FIRST SLAYER,1.2555625
FIRST SLAYER VOICEOVER,0.826666666666667
GILES,98.1704583333333
GILES VOICEOVER,0.539958333333333
GLORY,65.5409375
KID,4.83608333333333
MINION,9.9508125
MINION 1,4.50891666666667
MINION 2,0.453020833333333
SPIKE,47.5261875
TARA,16.9087708333333
VAMP,12.3358333333333
WILLOW,52.3888958333333
WILLOW VOICEOVER,4.11145833333333
XANDER,48.6530208333333
XANDER/GILES,0.359354166666667
