1.43,2.67,,IN EVERY GENERATION
1.43,2.67,,THERE IS A CHOSEN ONE.
2.74,5.67,,SHE ALONE WILL STAND
2.74,5.67,,"AGAINST THE VAMPIRES,"
5.74,8.17,,THE DEMONS.
5.74,8.17,,AND THE FORCES OF DARKNESS.
8.24,9.91,,SHE IS THE SLAYER.
11.91,11.91,,
11.91,14.81,Cordelia,"I JUST LOVE SPRINGTIME,"
14.88,16.78,Cordelia,"ME IN BRIGHT, SPRING FASHIONS."
16.78,17.8,Mitch,SPRING TRAINING.
17.87,20.29,Cordelia,ME AT THE ENDOFSCHOOL DANCE.
20.29,21.84,Harmony,THE END OF SCHOOL.
21.9,25.16,Cordelia,DEFINITELY MY FAVORITE
21.9,25.16,Cordelia,TIME OF YEAR.
25.22,28.24,Cordelia,"I AM, OF COURSE, HAVING"
25.22,28.24,Cordelia,MY DRESS SPECIALLY MADE.
28.31,30.28,Cordelia,OFFTHERACK
28.31,30.28,Cordelia,GIVES ME HIVES.
30.35,33.28,Mitch,LET ME GUESS.
30.35,33.28,Mitch,BLUE LIKE YOUR EYES.
33.35,35.78,Cordelia,"MY EYES ARE HAZEL,"
33.35,35.78,Cordelia,HELEN KELLER.
35.85,37.78,Harmony,YOU TWO WILL LOOK
35.85,37.78,Harmony,SO FINE TOGETHER
37.85,39.79,Harmony,IN THE MAY QUEEN
37.85,39.79,Harmony,PHOTO.
39.85,42.46,Cordelia,"WELL, I HAVEN'T"
39.85,42.46,Cordelia,BEEN ELECTED MAY QUEEN YET.
42.52,43.77,Cordelia,OOH! OH! OH!
43.84,45.36,Cordelia,
46.41,48.95,Cordelia,BEHOLD THE WEIRDNESS.
49.01,52.05,Buffy,YOU'RE PROBABLY WONDERING WHAT
49.01,52.05,Buffy,"I'M DOING WITH THIS STUFF, HUH?"
52.12,53.33,Cordelia,WOW! I'M NOT.
53.33,55.39,Buffy,"UH, FOR HISTORY CLASS."
55.45,59.31,Buffy,"MR. GILES HAS THIS, LIKE,"
55.45,59.31,Buffy,"HOBBY OF COLLECTING STUFF,"
59.37,62.24,Buffy,WHICH HE LENT ME
59.37,62.24,Buffy,FOR SHOWANDTELL.
62.31,64.01,Harmony,DID I MENTION
64.01,67.02,Buffy,IT'S FOR HISTORY CLASS?
65.08,67.51,Harmony,SHE IS ALWAYS HANGING WITH
65.08,67.51,Harmony,THAT CREEPY LIBRARIAN...
67.58,69.78,Harmony,IN THAT CREEPY
67.58,69.78,Harmony,LIBRARY.
69.85,73.47,Cordelia,"HEY, DID I EVER TELL YOU ABOUT THE"
69.85,73.47,Cordelia,TIME SHE ATTACKED ME AT THE BRONZE?
73.54,77.04,Cordelia,I DON'T KNOW WHY THIS SCHOOL
73.54,77.04,Cordelia,ADMITS MENTALS LIKE HER.
78.81,81.78,Ms. Miller,"IF YOU PRICK US,"
78.81,81.78,Ms. Miller,DO WE NOT BLEED?
81.85,85.58,Ms. Miller,"IF YOU TICKLE US,"
81.85,85.58,Ms. Miller,DO WE NOT LAUGH?
85.65,89.3,Ms. Miller,"IF YOU POISON US,"
85.65,89.3,Ms. Miller,DO WE NOT DIE?
89.37,93.96,Ms. Miller,"AND IF YOU WRONG US,"
89.37,93.96,Ms. Miller,SHALL WE NOT REVENGE?"
95.39,98.7,Ms. Miller,OKAY.
95.39,98.7,Ms. Miller,"SO TALK TO ME, PEOPLE."
98.76,101.27,Ms. Miller,HOW DOES WHAT SHYLOCK
98.76,101.27,Ms. Miller,SAYS HERE ABOUT BEING A JEW...
101.33,105.17,Ms. Miller,RELATE TO OUR DISCUSSION ABOUT THE
101.33,105.17,Ms. Miller,ANGER OF THE OUTCAST IN SOCIETY?
105.24,109.36,Cordelia,"CORDELIA. WELL, HOW ABOUT ""COLOR"
105.24,109.36,Cordelia,ME TOTALLY SELFINVOLVED"?
109.42,111.83,Ms. Miller,CARE TO ELABORATE?
109.42,111.83,Ms. Miller,i>YEAH.</i>
111.89,114.19,Cordelia,"i>WITH SHYLOCK, IT'S</i>"
111.89,114.19,Cordelia,"i>WHINE, WHINE, WHINE,</i>"
114.26,116.3,Cordelia,LIKE THE WHOLE WORLD
114.26,116.3,Cordelia,IS ABOUT HIM.
116.36,118.4,Cordelia,"HE ACTS LIKE IT'S JUSTICE, HIM"
118.4,120.79,Ms. Miller,GETTING A POUND OF ANTONIO'S FLESH.
120.85,123.2,Ms. Miller,IT'S NOT JUSTICE.
120.85,123.2,Ms. Miller,IT'S YICKY.
123.27,127.74,Ms. Miller,BUT HAS SHYLOCK SUFFERED? WHAT'S
123.27,127.74,Ms. Miller,HIS PLACE IN VENICE SOCIETY?
127.81,129.56,Willow,"WELL, EVERYONE LOOKED DOWN ON HIM."
129.56,131.16,Cordelia,THAT IS SUCH A TWINKIE DEFENSE.
131.23,133,Cordelia,SHYLOCK SHOULD
131.23,133,Cordelia,GET OVER HIMSELF.
133.07,136.72,Cordelia,PEOPLE WHO THINK THEIR
133.07,136.72,Cordelia,"PROBLEMS ARE SO HUGE CRAZE ME,"
136.79,139.69,Cordelia,LIKE THIS TIME I SORT OF RAN
136.79,139.69,Cordelia,OVER THIS GIRL ON HER BIKE.
139.75,140.49,Cordelia,IT WAS THE MOST
140.49,142.12,Ms. Miller,"TRAUMATIZING TIME <i>MY</i> LIFE,"
142.19,144.26,Ms. Miller,AND SHE WAS TRYING TO
142.19,144.26,Ms. Miller,"MAKE IT ABOUT <i>HER</i> LEG,"
144.33,146.53,Ms. Miller,LIKE MY PAIN MEANT NOTHING.
