,27.534375
ANYA,35.00825
BARTENDER,2.9670625
BEN,4.97985416666667
BETH,47.7621875
BUFFY,105.023520833333
DAWN,16.6448958333333
DONNY,24.35375
FEMALE VOICE,1.7430625
GILES,81.5169791666667
GILES VOICEOVER,1.42795833333333
GLORY,34.1169375
HARMONY,23.853875
INTERN,3.72252083333333
MONK,5.75420833333333
MR. MACLAY,85.0881041666667
RILEY,53.7261041666667
SANDY,7.62058333333333
SPIKE,24.330375
SPIKE VOICEOVER,0.7175625
TARA,98.6168958333333
TARA VOICEOVER,9.5714375
WILLOW,66.5437291666667
WILLOW VOICEOVER,2.80708333333333
XANDER,62.4526458333333
