2.25,5.13,,Previously on "Buffy the Vampire Slayer":
5.33,7.53,,What are you?
5.33,7.53,,I'm the Slayer.
7.69,12.81,,The implant works. Hostile 17 can't harm
7.69,12.81,,any living creature without intense pain.
13.13,14.69,,I can hurt a demon.
14.77,18.65,,"That's right. I'm back,"
14.77,18.65,,and I'm a bloody animal.
21.93,24.24,,I thought we made a pretty good team.
24.77,28.08,,You're really strong. I like it.
30.13,34.73,,"I implore you, Neesah, blessed"
30.13,34.73,,"goddess of chance and fortune,"
34.81,36.8,,heed my call.
36.89,39.33,,Send to me the heart I desire.
39.41,43.2,,"You know, magic at the poker table"
39.41,43.2,,qualifies as cheating.
43.29,45.76,,That wasn't magic. I was praying.
45.85,47.84,,"Two, please."
50.93,54.02,,Five.
52.09,55.85,,"An, I keep telling you, four's the max,"
52.09,55.85,,and only if you have an ace.
56.81,57.6,,"OK, four."
57.6,59.17,Xander,Let's see the ace.
60.17,62.29,Anya,Three.
62.37,65.89,Anya,What a stupid game. All these rules
62.37,65.89,Anya,just to win little plastic discs.
65.97,69.05,Xander,Chips. They're called chips.
65.97,69.05,Xander,"They represent money,"
69.29,74.49,Xander,since none of us has any money. But that'll
69.29,74.49,Xander,change once my merchandise hits the street.
75.85,78.21,Willow,What ya got in the boxes? Drugs?
78.29,80.87,Willow,"It's not drugs, is it, Xander?"
80.87,81.73,Xander,Not drugs.
82.61,89.45,Xander,You are looking at the new
82.61,89.45,Xander,local distributor for Boost bars.
89.53,92.53,Xander,The natural food bar
89.53,92.53,Xander,that provides a nutritional boost
92.61,94.97,Xander,"for active, healthconscious people."""
95.05,95.95,Xander,Want one?
95.95,97.04,Willow,No. Thanks.
97.13,102.61,Willow,"Those things usually taste kinda tasteless,"
97.13,102.61,Willow,and then leave a bad aftertastelessness.
103.25,104.88,Xander,Don't let the healthy scare ya.
104.88,106.25,Anya,Check out the ingredients.
106.33,108.45,Xander,See? Loaded with fatty goodness.
108.53,111.65,Anya,"Come on, somebody bet already."
108.53,111.65,Anya,I got three K cards.
115.21,119.05,Xander,Wish that Buff could've made it.
115.21,119.05,Xander,This threehand poker is not quite the game.
119.13,122.65,Willow,Must be with Riley. You know
119.13,122.65,Willow,how it is with a spankingnew boyfriend.
122.81,125.12,Anya,"Yes, we've enjoyed spanking."
127.73,130.33,Xander,"Well, the thing is,"
130.69,137.02,Willow,"I think Riley is OK, in an oafish kind of way,"
135.09,140.37,Willow,but am I the only one with a question mark
135.09,140.37,Willow,over his head about this Initiative thing?
140.61,143.49,Willow,"Well, they do seem"
140.61,143.49,Willow,to fall in the goodguy camp.
143.57,146.09,Willow,"I mean, they are antidemon."
147.37,150.23,Willow,Probably pro exdemon.
150.23,151.05,Anya,Maybe.
151.13,152.8,Anya,I choose to feel threatened.
152.8,153.52,Xander,And why not?
153.61,158.32,Xander,There's still heaps we don't know about these
153.61,158.32,Xander,commandos. What exactly are they up to?
162.02,166.07,Xander,Advertise your product or brand here
162.02,166.07,Xander,contact www.OpenSubtitles.org today
181.21,182.2,Walsh,Riley.
187.01,189.65,Walsh,It took the patrol team
187.01,189.65,Walsh,"minutes to track you,"
189.89,192.41,Walsh,and you neutralised them in 28 seconds.
193.57,195.53,Buffy,I was just lucky.
196.53,200.08,Walsh,"I see. Well, still very impressive."
205.73,209.36,Buffy,I was just being modest with the whole
205.73,209.36,Buffy,"lucky"" thing. You got that, right?"
209.45,211.44,Riley,I got it.
211.53,213.73,Graham,"Awesome, Buffy."
216.17,219.85,Riley,See? You're a hit. Everybody loves you.
282.53,285.68,Buffy,Then Professor Walsh said
282.53,285.68,Buffy,I was as amazing as Riley had said.
285.77,288.97,Buffy,"Later, he said she couldn't"
285.77,288.97,Buffy,stop talking about a move I made
289.05,291.89,Buffy,where I used a commando
289.05,291.89,Buffy,as a shield to block a Taser blast.
291.97,296.41,Buffy,"It was, like, 12,000 volts. It took"
291.97,296.41,Buffy,the guy almost two hours to recover.
298.93,300.81,Buffy,How was your night?
300.89,304.12,Willow,Like a normal person's.
300.89,304.12,Willow,Light on the actionpacked.
304.21,308.73,Willow,Hope tonight's not too much
304.21,308.73,Willow,"of a letdown for ya, excitementwise."
309.89,312.36,Willow,"You do remember about tonight, right?"
312.45,315.09,Buffy,Bronze. The gang. Are you kidding?
315.17,317.93,Buffy,I wouldn't be anywhere else. I miss you guys.
318.81,321.04,Buffy,We haven't spent much time together lately.
321.25,324.61,Willow,You've been busy. Fighting armies and stuff.
324.69,328.21,Willow,Not to mention other
324.69,328.21,Willow,distractions of a more romantic...
328.65,330.8,Buffy,Riley just walked in.
334.97,336.96,Willow,Do ya wanna let him know you're here?
337.29,342.05,Buffy,No. Just enjoying a good stare.
337.29,342.05,Buffy,Tell me about your night.
342.53,346.29,Willow,"Well, spent most of it at Xander's"
342.53,346.29,Willow,teaching Anya to play poker.
346.57,348.3,Buffy,That sounds like fun.
348.3,351.6,Willow,Except the Anya part and the poker part.
351.93,354.81,Buffy,"Will, I think you'd better"
351.93,354.81,Buffy,get used to... A Twinkie?
355.05,358.97,Buffy,That's his lunch?
355.05,358.97,Buffy,"Oh, he is so gonna be punished."
359.33,362.12,Willow,Everyone's gettin' spanked but me.
362.12,362.53,Buffy,What?
363.25,365.61,Willow,Nothing.
377.13,380.89,Spike,"Hey, wipe your feet"
377.13,380.89,Spike,when you enter a person's home.
381.21,383.57,Giles,"Oh, yes. Careless of me."
384.29,387.52,Giles,Tracking mud all over your mud.
388.21,392.02,Spike,"I admit,"
390.09,392.08,Spike,it's a bit of a fixerupper.
393.41,395.93,Spike,Needs a woman's touch.
396.01,398.57,Spike,Care to have a crack at it?
398.65,401.42,Giles,While I'd love to go on trading jabs with
401.42,404.33,Spike,"you, Spike, perhaps I'll come to the point."
404.41,406.45,Spike,"Much as it pains me to say it,"
406.53,409.35,Giles,I owe you a debt of gratitude for the help
409.35,411.77,Spike,you provided me in my metamorphosis.
411.85,415.73,Spike,Stuff the gratitude.
411.85,415.73,Spike,"You owe me more than that, mate."
415.81,419.69,Giles,There's 300 there. Count it if you like.
419.85,422.05,Spike,I'll do that.
430.97,433.09,Giles,Thinking about your affliction
433.17,438.49,Giles,and newfound discovery
433.17,438.49,Giles,"that you can fight only demons,"
438.57,440.64,Giles,it occurs to me that...
440.73,443.04,Spike,I realise this is completely
440.73,443.04,Spike,"against your nature,"
443.13,447.97,Spike,but has it occurred to you
443.13,447.97,Spike,there may be a higher purpose?
448.05,451.81,Spike,You made me lose count.
448.05,451.81,Spike,What are you still doing here?
451.93,453.65,Giles,"Talking to myself, apparently."
453.65,454.85,Spike,"Well, piss off, then."
454.93,458.37,Spike,This bit of business wraps up
454.93,458.37,Spike,any I got with you and your slayerettes.
458.45,460.04,Giles,"From now on, I want nothing to do"
460.04,461.01,Spike,with the lot of you.
461.09,464.77,Giles,Your choosing to remain in Sunnydale
461.09,464.77,Giles,might make that a little difficult.
464.85,467.89,Spike,"Well, you and yours'll"
464.85,467.89,Spike,just have to show a little restraint.
467.97,469.17,Spike,Now get out.
473.93,477.85,Spike,And I don't want you crawling back here
473.93,477.85,Spike,knocking on my door pleading for help
477.93,481.89,Spike,the second Teen Witch's magic goes
477.93,481.89,Spike,all wonky or little Xander cuts a new tooth.
481.97,484.57,Spike,We're through. Got it?
489.01,491.21,Spike,Honeymoon is over.
496.97,499.53,Riley,We don't have to do this.
499.61,501.57,Buffy,I know.
502.61,504.6,Riley,"I mean, if you'd rather wait."
505.57,509.25,Buffy,I'm ready. I want to.
520.21,524.89,Female computer voice,"New retinal scan recorded: Summers, Buffy."
547.93,549.37,Buffy,My God.
557.89,560.09,Buffy,You said it was big.
561.57,564.45,Buffy,"You told me, but you never said it was huge."
565.13,567.12,Riley,I don't like to brag.
568.81,572.33,Buffy,I had no idea. This is incredible.
572.69,575.97,Buffy,But not that I thought
572.69,575.97,Buffy,it was some flybynight operation.
576.05,581.33,Buffy,"Unless it is. I mean, can you guys fly?"
576.05,581.33,Buffy,At night. With those jetpack things?
581.41,583.85,Riley,I can't really talk about it.
583.93,586.13,Buffy,This is unreal.
587.93,590.08,Walsh,"So, you like our little operation?"
590.81,594.81,Buffy,Yeah. Yes. It's very clean.
595.17,597.05,Walsh,Your visitor's pass.
597.57,600.88,Buffy,And I've assembled some reading
597.57,600.88,Buffy,material to bring you up to speed.
600.97,604.49,Buffy,Oh. And I thought I was never
600.97,604.49,Buffy,gonna get homework from you again.
604.57,608.69,Walsh,You can't take that home.
604.57,608.69,Walsh,That's classified material. Highly sensitive.
608.77,615.02,Walsh,When you're through reading
608.77,615.02,Walsh,those pages you'll have to eat them.
613.09,613.96,Riley,She's joking.
613.96,616.77,Walsh,"Don't worry, it doesn't happen very often."
616.85,618.84,Walsh,Shall we?
622.69,626.65,Walsh,Much of our handson research
622.69,626.65,Walsh,with the HSTs is performed here.
626.73,628.72,Buffy,We call this "The Pit".
630.05,631.69,Buffy,And what do you call those?
631.77,634.33,Riley,Tough. It took eight of us to bring 'em down.
634.41,637.29,Walsh,They'll be under control soon.
634.41,637.29,Walsh,Doctor Angleman.
639.05,643.6,Walsh,Head of our science team. A leader in the
639.05,643.6,Walsh,field of xenomorphic behaviour modification.
643.69,645.09,Buffy,Behaviour modification?
645.37,646.59,Buffy,We've made advances in
646.59,648.52,Walsh,reconditioning the subterrestrials.
648.61,651.37,Walsh,Bringing them to a point
648.61,651.37,Walsh,where they don't pose a threat.
651.45,653.6,Buffy,So I've seen.
654.53,656.52,Buffy,On the Discovery Channel.
656.61,660.37,Buffy,With gorillas and sharks. They made
656.61,660.37,Buffy,them all nice. You haven't seen it?
663.89,665.45,Buffy,What's over there?
672.89,675.04,Buffy,The armoury.
675.13,680.02,Walsh,You'll have to be cleared for use
675.13,680.02,Walsh,on each of these weapons.
678.09,683.09,Walsh,"The more advanced arsenal is complicated,"
678.09,683.09,Walsh,"but I'm certain, in time, you'll pick that up."
683.17,684.94,Walsh,Don't pick that up.
684.94,685.97,Buffy,What is it?
686.05,687.45,Walsh,"About $20,000."
687.45,690.44,Riley,It's a prototype for a comcam.
691.69,696.45,Riley,Communications camera. Gives us a direct
691.69,696.45,Riley,link to Control when we're out in the field.
696.53,701.73,Walsh,Also monitors the heart rate of the wearer.
696.53,701.73,Walsh,A good tool for research in stress in combat.
701.81,705.09,Walsh,"If you'll follow me, I'll show you"
701.81,705.09,Walsh,the HST containment area.
711.25,713.48,Walsh,We have a few more things to give you.
714.17,715.56,Buffy,What's in there?
715.56,716.77,Walsh,Research area.
717.17,719.32,Walsh,Very restricted for security reasons.
720.13,725.02,Walsh,Here is your security card and your pager.
723.89,725.69,Buffy,Been thinking about gettin' one.
725.69,727.09,Walsh,"We alone have the number,"
727.17,729.46,Walsh,and it stays that way.
729.46,730.09,Buffy,Right.
730.17,734.29,Walsh,"Lose either one of them, there's hell"
730.17,734.29,Walsh,to pay. And down here we mean that literally.
734.37,736.25,Walsh,"Again, welcome to the team."
743.33,748.17,Willow,Wow. I've been trying to find
743.33,748.17,Willow,a doll'seye crystal my entire life.
748.85,752.05,Willow,"Well, since June, anyway. Where'd you get it?"
752.61,755.17,Tara,"It was my grandma's, I think."
755.25,757.48,Tara,I found it a long time ago in my attic.
759.29,760.97,Tara,I want you to have it.
761.53,763.49,Willow,"Oh, no, Tara."
764.01,769.04,Willow,"That's really sweet, but I can't."
764.01,769.04,Willow,It's like a family heirloom.
769.57,773.04,Willow,I just wouldn't feel comfortable.
773.13,775.55,Willow,But if you wanted to try out some spells
775.55,777.73,Tara,"with it sometime, I wouldn't say no."
779.29,783.08,Tara,Maybe tonight? If you're not doing
779.29,783.08,Tara,"something, you could come over"
783.17,785.56,Tara,and we could do something.
