,9.253875
ALL,0.54375
ANDREW,30.2529166666667
ANYA,36.0448541666667
BOSS,5.42666666666667
BUFFY,114.6154375
CLEO,2.84508333333333
COP,0.787458333333333
COWORKER,1.29122916666667
DAWN,28.8898125
GILES VOICEOVER,0.549833333333333
GUARD,1.60558333333333
INVISIBLE ANDREW,3.2265
INVISIBLE BUFFY,111.524541666667
INVISIBLE JONATHAN,6.11033333333333
INVISIBLE WARREN,28.0085416666667
JONATHAN,37.7355833333333
MS. KROGER,60.0713333333333
SPIKE,68.0800833333333
SPIKE VOICEOVER,0.7315
WARREN,30.9174791666667
WILLOW,101.207354166667
WOMAN ON TV,1.97679166666667
XANDER,97.6423125
