,9.6894375
27 INT. HELLMOUTH - DAY,1.36464583333333
8 INT. PYRAMIDAL TOMB - NIGHT,1.09085416666667
AMANDA,7.20889583333333
ANDREW,33.7140416666667
ANGEL,68.088625
ANYA,29.3179166666667
BUFFY,190.334333333333
BUFFY (V.O.),7.71777083333333
BUFFY/FIRST,19.6896666666667
CALEB,11.9272708333333
CALEB/FIRST,29.135875
DAWN,13.4627291666667
EXT. BASEBALL DIAMOND - DAY,3.03625
FAITH,49.1805625
GILES,38.7170208333333
GILES (V.O.),1.131875
INT. DINING ROOM - DAY,2.30604166666667
INT. HIGH SCHOOL HALLWAY - DAY,2.10908333333333
INT. LIVING ROOM - DAY,3.46254166666667
KENNEDY,22.1896875
MAN (O.S.),0.5123125
ROBIN,59.461875
RONA,2.12275
SPIKE,31.9525625
SPIKE (V.O.),1.18245833333333
VI,6.7089375
WILLOW,49.2717291666667
WOMAN,1.784625
XANDER,39.8715208333333
