,46.4799583333333
Boy,4.53089583333333
Buffy,301.26275
Crowd,0.637666666666667
Eddie,30.1178958333333
FatVamp,12.9898958333333
Giles,36.40825
Girl,6.4423125
Joyce,15.009375
Kathy,23.2805625
Olivia,8.88983333333333
Olivine,2.48766666666667
Oz,16.0713541666667
Paul,2.71104166666667
Professor Reegert,26.1924375
Professor Walsh,15.33825
RA,8.03333333333333
Riley,34.47125
SpicoliVamp,24.589625
Student Volunteer,6.13572916666667
Sunday,58.8080625
Sunday is lying on the floor with Buffy standing above her. Buffy,3.08175
Willow,92.1525833333333
Xander,118.8783125
