,32.7808125
1 INT. FOYER AT BUFFY'S HOUSE - NIGHT,1.312
2 INT. XANDER'S APARTMENT - NIGHT,4.37525
4 INT. U.C. SUNNYDALE LIBRARY - NIGHT,4.06354166666667
9 INT. FLAT IN ENGLAND - DAY,2.53072916666667
AIMEE MANN,1.93195833333333
ANYA,68.5080208333333
BOUNCER,11.6266458333333
BUFFY,115.822145833333
CASSIE,4.03854166666667
DAWN,38.6801041666667
GILES (V.O.),1.201
HOLDEN,4.76364583333333
JOYCE,2.61083333333333
MAN,1.46995833333333
SPIKE,172.4715625
SPIKE-2,21.8898958333333
WAITRESS,1.2563125
WILLOW,69.7265416666667
XANDER,63.4081041666667
YOUNG WOMAN,51.1439791666667
