,3.95525
ANDREW,67.7069166666667
ANYA,90.6891875
ANYA VOICEOVER,0.735
BUFFY,111.262104166667
BUFFY VOICEOVER,2.04708333333333
CLEM,51.8350208333333
COP,1.23775
DAWN,52.3349583333333
DEMON,11.8629166666667
GILES,2.3138125
GILES VOICEOVER,2.66270833333333
JONATHAN,73.9894375
OFFICER,4.80891666666667
PATROL COP,2.77929166666667
RACK,30.4357083333333
SPIKE,35.9816666666667
TARA,2.30875
WARREN,3.91804166666667
WILLOW,161.627041666667
WILLOW VOICEOVER,1.5434375
XANDER,110.569291666667
XANDER VOICEOVER,2.36183333333333
