,58.3803958333333
ANDREW,19.7264791666667
ANYA,21.8086875
BARTENDER,10.7086875
BUFFY,99.9518333333333
CLEM,23.7895
CLERK,1.14383333333333
CORONER,5.25525
DAWN,23.5805
DEMON,38.68
DOCTOR,3.32083333333333
JONATHAN,29.8177916666667
KATRINA,6.96325
MAN #2 ON TV,0.954041666666667
MAN ON TV,1.1556875
NURSE #1,1.23775
NURSE #2,0.855166666666667
PARAMEDIC #1,5.03558333333333
PARAMEDIC #2,4.009
RACK,31.8626458333333
SPIKE,27.1718333333333
TARA,1.21695833333333
VAMPIRE,16.9087708333333
VOICE,1.943625
WARREN,118.551479166667
WILLOW,71.5604375
WOMAN ON TV,1.7119375
XANDER,58.4433958333333
