,11.41775
ANDREW,49.4674583333333
ANDREW VOICEOVER,1.74466666666667
ANDREW/WARREN/JONATHAN,1.71066666666667
ANYA,27.8265625
BARTENDER,0.419770833333333
BUFFY,251.856833333333
BUFFY VOICEOVER,3.22575
CHUCK,0.527291666666667
DANNY,2.90625
DAWN,5.57202083333333
DEMON,14.1715833333333
FEMALE CUSTOMER,14.808625
GILES,62.0626458333333
GILES VOICEOVER,1.392375
GREEN DEMON,7.68129166666667
JONATHAN,61.6641666666667
JONATHAN VOICEOVER,1.64070833333333
JONATHAN/ANDREW,0.549791666666667
LOOSE-SKINNED DEMON,8.21789583333333
MALE CUSTOMER,6.81779166666667
MANY-EYED DEMON,1.44685416666667
MARCO,1.99064583333333
MIKE,8.6268125
RACHEL,3.7485625
SCALY DEMON,4.26245833333333
SPIKE,50.8796875
STEVE,1.71783333333333
TARA,21.2086875
TONY,19.4628125
VINCE,8.36289583333333
WARREN,73.6338125
WILLOW,23.0809583333333
XANDER,36.2829583333333
