,381.859041666667
ADAM,51.5887291666667
Adam,0.826625
Angleman,24.8800625
Anya,7.71789583333333
Anya (less happy),0.614125
Buffy,103.424333333333
Cut to,10.2087916666667
Engelman,4.85677083333333
Engleman,3.317875
Forrest,29.3891875
Giles,37.3805
Graham,6.307875
Initiative has no interest in eliminating the slayer. He looks back at Buffy. Engleman,0.826625
Maggie,1.806375
Narrator,1.43302083333333
Riley,96.02
Spike,16.7357708333333
Tara,12.2539166666667
Voice,2.30520833333333
Walsh,5.63597916666667
Willow,36.3715833333333
Willy,20.6472083333333
Xander,25.2715416666667
