2.93,5.21,,Previously on "Buffy the Vampire Slayer":
5.29,7.97,,Get away from me.
5.29,7.97,,Wanna point that somewhere else?
8.05,11.6,,You all think I'm an idiot. A short idiot.
12.05,16.05,,"Faith switched. I mean, she had"
12.05,16.05,,some device. She switched our bodies.
16.13,19.6,,"Hi, baby. You miss me?"
16.13,19.6,,"I did, actually."
20.53,22.29,,I love you.
26.97,29.36,,You slept with her.
29.85,32.45,,I was created to kill.
32.53,34.81,,To extinguish life wherever I find it.
34.89,36.69,,Tell us what to do.
40.02,44.07,,Advertise your product or brand here
40.02,44.07,,contact www.OpenSubtitles.org today
47.05,48.57,,Xander! Anya!
48.69,50.68,Willow ,"Buffy, another one!"
55.33,57.09,Willow ,Buffy!
61.17,62.32,Buffy ,Where's the other one?
62.32,63.53,Xander ,Scampered like a bunny.
63.61,65.6,Anya ,In there.
80.37,84.25,Willow ,I don't care if it is an orgy of death.
80.37,84.25,Willow ,There's still such a thing as a napkin.
84.33,87.85,Buffy ,A nest. No biggie. I bet I could do it.
84.33,87.85,Buffy ,I know I could take at least two.
87.93,92.05,Anya ,"Yes, and we could run for help while the"
87.93,92.05,Anya ,others suck your heart out through your neck.
92.13,95.6,Buffy ,You're right. It's too many forjust us.
92.13,95.6,Buffy ,You know who we need?
101.97,103.12,Buffy ,Hi.
104.85,107.21,Buffy ,We have a problem.
109.61,111.92,Jonathan ,Sounds like you could use my help.
172.05,174.17,Xander ,A quick draw's about more than speed.
174.25,176.85,Xander ,It's also about pointing a stake the right way.
176.93,179.05,Xander ,And there can be splinter issues.
179.13,181.2,Xander ,It is a true test of dexterity.
181.29,182.47,Xander] ,Can you open this?
182.47,184.89,Xander ,"No, I tear it and it gets all sloshy."
187.21,192.02,Buffy ,"Thanks for doing this, Jonathan."
187.21,192.02,Buffy ,"I wouldn't ask, but..."
190.09,195.09,Jonathan ,"Hey, don't worry about it. Nest full"
190.09,195.09,Jonathan ,"of vampires, you come get me. OK."
195.17,198.17,Jonathan ,Box full of puppies?
195.17,198.17,Jonathan ,That's more of ajudgment call.
198.57,200.09,Jonathan ,Hit me!
200.89,203.77,Buffy ,You got me. It was very punchy.
203.85,207.16,Jonathan ,"Watch out for southpaws, Buff."
203.85,207.16,Jonathan ,Don't let 'em surprise you.
207.25,212.85,Giles ,Can't find a reference to any rituals.
207.25,212.85,Giles ,"Seems more like a family meal, if you will."
212.93,215.93,Buffy ,And they say no one needs
212.93,215.93,Buffy ,to have the TV on any more.
216.01,220.48,Buffy ,"Thanks, Rupert. It's good to know we're not"
216.01,220.48,Buffy ,walkin' into some unholy feast or other.
