,18.5625
ADAM,16.4356041666667
ANYA,8.9268125
BUFFY,129.715895833333
Buffy,1.33710416666667
COLONEL,28.3117916666667
COMMANDO 1,1.19120833333333
COMMANDO 2,2.03204166666667
COMMANDO 3,1.80675
Colonel,3.58070833333333
DOC 1,10.3269791666667
DOC 2,6.645375
FORREST,14.3265833333333
GILES,28.7712083333333
GUARD,1.24675
Giles,1.4440625
OZ,95.9422916666667
Oz voiceover,5.03541666666667
RADIO,2.0248125
RILEY,87.8365833333333
Riley voiceover,2.35072916666667
SPIKE,43.8178125
Spike in the Bronze,1.73745833333333
TARA,61.8249375
Tara,0.918
VOICE,0.853291666666667
WILLOW,153.387666666667
Willow,3.14552083333333
XANDER,14.2302083333333
