,21.2084166666667
ANYA,63.3166458333333
BUFFY,135.6143125
DAWN,15.5449166666667
DOCTOR VOICEOVER,1.43120833333333
DR. KRIEGEL,12.689625
ELLIS,38.3081041666667
Episode begins,1.291
GILES,29.8711875
GILES VOICEOVER,1.33708333333333
GRAHAM,11.8899375
JOYCE,20.6717291666667
RILEY,124.5779375
RILEY VOICEOVER,2.30910416666667
SPIKE,64.4167291666667
SPIKE VOICEOVER,1.41133333333333
VAMP 1,2.3305
VAMP 2,3.50904166666667
VAMP2,8.33602083333333
WILLOW,13.6448958333333
XANDER,107.344708333333
XANDER VOICEOVER,1.1199375
