,4.47172916666667
ANYA,14.20875
ANYA VOICEOVER,1.50570833333333
BEN,50.9079791666667
BUFFY,6.61783333333333
BUFFY #1,18.2720416666667
BUFFY #2,51.1745208333333
BUFFY VOICEOVER,2.19125
CRAZY GUY,0.917958333333333
DAWN,37.947375
DOC,32.5715208333333
FIRST SLAYER,2.32039583333333
GILES,52.0086666666667
GILES VOICEOVER,1.2373125
GLORY,277.91575
GREGOR,4.53589583333333
GRONX,10.1445833333333
HANK,3.85420833333333
JOYCE,12.45425
MURK,11.5894375
PRIEST,9.753625
SLOOK,0.708708333333333
SPIKE,77.09625
TARA,6.8568125
VOICE,0.917958333333333
WILLOW,106.150625
WILLOW VOICEOVER,4.86320833333333
WOMAN,0.459791666666667
XANDER,37.3804166666667
YOUNG BUFFY,24.2087708333333
YOUNG BUFFY VOICEOVER,1.51341666666667
