2.02,2.63,,i><b></b></i>
2.63,7.43,,i># The way you love</i>
8.26,12.66,,i># Have you got a name for it?</i>
13.49,17.88,,i># Cos I don't understand</i>
18.27,22.04,,i># It</i>
25.15,30.27,,i># The language is an annoying necessity</i>
30.3,35.63,,i># And I depend on all the regular things</i>
36.11,41.22,,i># Got a list tattooed on my memory</i>
41.25,47.1,,i># Of how our tryst should unfold</i>
53.93,55.47,,Hey.
53.93,55.47,,i># I'm falling from the opposite</i>
55.81,60.68,,I'm Ben. We had
55.81,60.68,,Algebra II together last year?
60.71,65.19,,"I'm sorry, I pretty much repress"
60.71,65.19,,anything mathrelated.
65.23,68.15,,Ms. Jackson? Second period?
68.16,70.85,,You sat in the seat three over
68.16,70.85,,and one behind.
70.89,73.28,,"Oh! Yeah, I remember now."
70.89,73.28,,It's the one with the
73.28,75.56,,"desks, and the chalkboards,"
73.28,75.56,,"and pencils, and stuff, right?"
75.6,77.08,,That's the one.
77.08,78.85,Buffy,Like a steel trap.
78.89,82.08,Ben,"So, I was wonderin',"
78.89,82.08,Ben,you know the dance tomorrow night?
82.12,82.88,Ben,Are you goin'?
82.88,84.66,Buffy,You mean the Sadie Hawkins thing?
84.69,87.4,Buffy,The deal where the girls ask the boys?
87.4,87.76,Ben,Yeah.
87.79,92.65,Ben,"And I thought maybe, you know,"
87.79,92.65,Ben,"if you're free, you might ask me."
93.04,95.16,Buffy,"Oh, gosh..."
95.19,95.37,Buffy,I...
95.37,97.09,Ben,"Oh, hey, hey, no. Don't, don't worry..."
97.12,99.39,Buffy,"No! No, no, you seem"
97.12,99.39,Buffy,like a really great guy.
99.42,101.98,Buffy,"It's... me, I..."
102.1,105.05,Buffy,I'm not seeing anybody.
105.23,107.47,Buffy,"Ever again, actually."
107.47,110.56,Ben,Oh. That's... that's too bad.
112.11,115.18,Ben,"OK, well, I better..."
115.18,117.12,Lyrics,i># Fight the map with no key attached</i>
117.15,117.97,Buffy,i> Sorry.
117.97,121.32,Lyrics,"My heart's enlarged, and I charge</i>"
121.5,124.1,,i># I'm falling from the opposite</i>
124.13,126.59,,i># What good is it?</i>
127.13,129.93,Lyrics,i># Fight the map with no key attached</i>
129.96,134.53,Lyrics,i># My heart's enlarged and I charge</i>
140.89,143.88,Willow,Hey. You're bailin'?
144.02,147.32,Buffy,Yeah. I'm gonna stop by the library
144.02,147.32,Buffy,"and see if Giles wants me to patrol,"
147.32,149.28,Buffy,and then... sack it.
149.31,152.81,Willow,You've been doing that a lot 
149.31,152.81,Willow,patrolling and sacking.
152.84,156.07,Willow,"In fact, you've, kind of, been"
152.84,156.07,Willow,All work and no play Buffy".
