,6.34477083333333
ADAM VOICEOVER,5.61166666666667
ANYA,10.3538958333333
BEN,11.0089583333333
BUFFY,240.677333333333
BUFFY VOICEOVER,1.01225
BUFFY/DAWN,0.717354166666667
DAWN,26.0173541666667
DAWN VOICEOVER,5.69008333333333
DOCTOR,12.8186666666667
GILES,22.908875
GRAHAM,56.7590625
GUY,1.25675
HARMONY,67.5265625
INITIATIVE DOC,2.03166666666667
JOYCE,21.8358125
JOYCE VOICEOVER,2.3101875
MAN,1.52070833333333
OVERHEISER,26.4625833333333
RILEY,98.3530416666667
RILEY VOICEOVER,1.987875
SPIKE,143.626291666667
SPIKE/OVERHEISER,2.27516666666667
TARA,15.41925
WILLOW,87.9896458333333
WILLOW VOICEOVER,1.2563125
XANDER,23.7641875
