,23.7085625
27 INT. XANDER'S APARTMENT - NIGHT,0.826625
7 INT. CAVE - NIGHT,1.291875
AMANDA,12.3084583333333
ANDREW,10.5284375
ANDREW (V.O.),14.063
ANYA,2.60045833333333
BUFFY,122.077791666667
BUFFY (V.O.),2.01208333333333
BUFFY/FIRST,15.4264166666667
BUFFY/FIRST (O.S.),0.524270833333333
CALEB,143.214916666667
CALEB (V.O.),6.64504166666667
CHAO-AHN,4.56283333333333
COLLEEN,1.41458333333333
DAWN,2.78083333333333
DAWN (O.S.),1.30429166666667
FAITH,131.0255625
GILES,15.1533333333333
GILES (V.O.),8.06283333333333
GIRL,9.77870833333333
GIRL / SHANNON,0.826625
HELPLESS GIRL,8.69039583333333
JENNY/FIRST,4.47172916666667
KENNEDY,3.7901875
MAN,24.4713958333333
MAN / CALEB,1.71210416666667
MOLLY,6.10879166666667
POTENTIAL,11.6555833333333
POTENTIAL 2,1.36279166666667
POTENTIAL 2 / COLLEEN,2.62335416666667
ROBIN WOOD,22.456
RONA,9.280875
SHANNON,7.9176875
SPIKE,56.4806041666667
WARREN/FIRST,1.58758333333333
WILLOW,32.2175
XANDER,64.7081666666667
