,40.1171458333333
20 INT. BRONZE NIGHT CLUB - NIGHT,1.392625
26 INT. BUFFY'S ROOM AT THE SUMMERS HOUSE - NIGHT,0.735145833333333
29 INT. U.C. SUNNYDALE LIBRARY - NIGHT,5.72708333333333
31 EXT. SUNNYDALE CEMETERY - NIGHT,0.879041666666667
33 INT. KITCHEN AT SUMMERS HOUSE - NIGHT,9.16279166666667
ANDREW,76.0791666666667
ANDREW (O.S.),2.82333333333333
ANYA,1.9178125
BUFFY,121.731145833333
CASSIE,103.334083333333
DAWN,156.531791666667
GILES (V.O.),2.08333333333333e-05
HOLDEN,196.232479166667
HOLDEN/VAMPIRE,5.02604166666667
JONATHAN,88.9716666666667
JOYCE,13.6368333333333
JOYCE (V.O.),3.5094375
SHADOWY VOICE,2.57770833333333
SINGER,35.662625
SINGER (V.O.),20.2084791666667
SPIKE,1.85739583333333
VAMPIRE,1.125625
WARREN,18.571875
WILLOW,75.2882291666667
