2.25,4.89,Giles,Previously on "Buffy the Vampire Slayer":
4.97,6.45,Anya,Remove your clothing now.
6.53,10.32,Anya,"Relationship. What kind do we have,"
6.53,10.32,Anya,and what is it progressing toward?
10.65,12.41,Tara,They don't even know I exist.
12.49,18.44,Willow,I just like having something
12.49,18.44,Willow,"that's just, you know, mine."
19.09,21.53,Tara Voiceover,"I am, you know."
21.61,23.41,Willow Voiceover,What?
24.37,25.97,Tara,Yours.
29.02,33.07,BUFFY,Advertise your product or brand here
29.02,33.07,BUFFY,contact www.OpenSubtitles.org today
67.33,69.8,BUFFY,"OK, you get Fang, I'll get Horny."
69.89,71.09,BUFFY,I mean...
98.13,102.09,BUFFY,Vampiredemon tag team.
98.13,102.09,BUFFY,Who says we can't all get along?
102.17,105.45,RILEY,I don't recall ever seeing that before.
102.17,105.45,RILEY,Cos it never happens.
105.53,107.92,BUFFY,Vamps hate demons.
108.73,113.33,BUFFY,It's like stripes and polka dots.
108.73,113.33,BUFFY,Major clashing.
113.41,117.7,BUFFY,"So, I guess we should tell Giles about this."
117.7,118.28,RILEY,Right.
118.45,121.81,BUFFY,"I mean, it's the kind of thing he'd..."
118.45,121.81,BUFFY,wanna know about.
122.93,124.75,BUFFY,Like... as soon as possible.
124.75,126.05,RILEY,As soon as possible.
127.77,132.37,BUFFY,I mean it now. First thing
127.77,132.37,BUFFY,"in the morning, we go tell Giles."
132.45,134.33,RILEY,First thing. Good plan.
322.65,326.97,XANDER,"Aw, come on. Big party at Riley's house."
322.65,326.97,XANDER,It's gonna be fun.
327.05,329.07,XANDER,Why don't you wanna go?
329.07,330.57,ANYA,You know why not.
330.65,335.81,ANYA,Those Initiative men make me
330.65,335.81,ANYA,not comfortable. And you don't care.
335.89,340.17,ANYA,They don't know you're an exdemon. And we
335.89,340.17,ANYA,don't know they'd care even if they did know.
340.25,342.24,ANYA,Which they're not gonna find out.
342.33,345.85,ANYA,"Anyway, they'll be too busy"
342.33,345.85,ANYA,flirtin' with girls to notice you.
345.93,350.13,ANYA,"So, you don't think I'm desirable"
345.93,350.13,ANYA,enough to be flirted with?
350.21,350.92,ANYA,Is that it?
350.92,353.13,XANDER,"I'm just not gonna win here, am I?"
353.53,357.16,ANYA,You don't find me attractive any more.
357.16,360.02,XANDER,What? I think you're gorgeous.
358.13,362.76,ANYA,"Oh, really? Well, then,"
358.13,362.76,ANYA,why didn't we have sex last night?
362.85,366.24,XANDER,Is that what this is about?
362.85,366.24,XANDER,We've gone other nights without sex.
366.41,368.4,ANYA,I know. Twice.
369.09,371.76,ANYA,I can't believe we're breaking up!
371.76,373.33,XANDER,Breaking? We're not.
373.41,374.04,XANDER,Are we?
374.04,375.56,ANYA,Of course we are.
375.65,380.33,ANYA,You've obviously grown tired of me. I've seen
375.65,380.33,ANYA,it happen to many women over the centuries.
380.41,382.72,ANYA,I just never thought it would happen to me.
382.81,386.33,XANDER,"Anya, there's a lot more"
382.81,386.33,XANDER,to you and me than the sex.
386.93,388.49,XANDER,"Well, there should be."
388.57,392.85,XANDER,A relationship is something that
