,3.708875
911 OPERATOR,13.2264583333333
ANYA,55.3084583333333
BUFFY,78.9691458333333
DAWN,63.5166458333333
DOCTOR,0.459791666666667
DR. KRIEGEL,31.0904166666667
Dawn and Lisa go to the back and take easels on either side of Kevin. Dawn looks nervously at him. TEACHER,2.7765
GILES,6.82683333333333
GIRL,1.40729166666667
JOYCE,12.02
KEVIN,14.1174166666667
KIRSTY,1.67995833333333
LISA,18.4306666666667
NOTE,2.53054166666667
PARAMEDIC 1,7.3269375
PARAMEDIC 2,29.8444166666667
RADIO,3.9769375
TARA,55.0083125
TEACHER,3.4625
WILLOW,92.442625
XANDER,55.3342708333333
