2.21,5.02,Maggie,This is your objective.
3.09,5.48,Narrator,Previously on "Buffy the Vampire Slayer":
5.57,7.33,Walsh,Demon class: Polgara species.
7.41,10.72,Engelman,Bone skewers jut from
7.41,10.72,Engelman,the creature's forearms during battle.
10.81,13.65,Engelman,It's imperative not to damage its arms.
13.73,15.61,Buffy,Why can't we damage its arms?
15.69,17.13,Engelman,She's an unnecessary risk.
17.21,23.02,Walsh,Two of our hostiles broke free
17.21,23.02,Walsh,and escaped into the tunnels.
22.53,23.2,Walsh,She's dead.
23.2,24.36,Riley,I don't understand.
24.45,28.49,Buffy,"If you think that's enough to kill me,"
24.45,28.49,Buffy,you really don't know what a slayer is.
28.57,30.26,Walsh,"If she wants a fight, we'll give her one."
30.26,31.41,Buffy,It's not safe for any of us.
31.49,33.56,Walsh,And when she least expects it...
34.29,35.74,Walsh,Adam.
35.74,37.49,Adam,Mommy.
38.81,44.02,Buffy,Maggie sends me down into the sewers
38.81,44.02,Buffy,with a blasto gun.
42.09,44.73,Buffy,"The next thing I know, it's raining monsters."
44.73,45.37,Xander,Hallelujah.
45.45,49.97,Buffy,"And then this gate slams down behind me,"
45.45,49.97,Buffy,and I try to use the gun but it goes "phtt".
50.05,52.61,Giles,You're saying that Maggie Walsh set you up?
52.69,54.76,Buffy,That's exactly what I'm saying.
54.85,57.49,Buffy,She sent me on a oneway recon.
57.57,59.77,Spike,"Gotta hand it to you, Goldilocks."
59.85,62.77,Buffy,You do have bleeding tragic taste in men.
62.85,67.21,Buffy,I got a cousin married to a regurgitating
62.85,67.21,Buffy,Frovalox demon that's got better instincts.
67.29,69.44,Buffy,What does my taste in men
67.29,69.44,Buffy,have to do with it?
69.53,74.89,Spike,Was Riley knitting bootees for your offspring
69.53,74.89,Spike,while Maggie was stringing you up?
79.33,82.09,Buffy,You guys think Riley
79.33,82.09,Buffy,had something to do with this?
82.17,87.96,Giles,Probably not. But we'd be remiss
82.17,87.96,Giles,if we didn't think of all the possibilities.
89.89,91.96,Buffy,Right.
92.05,93.09,Giles,Remiss.
93.17,96.85,Buffy,No. No. Maggie made sure
93.17,96.85,Buffy,that he was nowhere around
96.93,99.89,Buffy,when she sent me on this
96.93,99.89,Buffy,make Buffy dead" assignment.
99.97,103.68,Willow,"And plus, Riley? He seems like"
99.97,103.68,Willow,"he wouldn't tell a little white lie,"
103.77,106.61,Willow,"let alone a whole bunch of big, dirty ones."
106.69,108.84,Xander,That's why they call it the secret forces.
108.93,111.89,Xander,Cos they kinda keep
108.93,111.89,Xander,the whole lying thing to themselves.
111.97,119.02,Buffy,All I know is that Maggie has it in for me.
111.97,119.02,Buffy,Which means the Initiative has it in for me.
117.45,120.89,Xander,The mad scientist isn't too keen
117.45,120.89,Xander,on the fact that the Scooby gang
120.97,123.12,Xander,knows that the Initiative is up to no good.
123.21,126.29,Buffy,Which brings us back
123.21,126.29,Buffy,to the "not safe for any of us" concept.
126.37,130.81,Giles,What could have happened
126.37,130.81,Giles,to make Professor Walsh want to kill you?
130.89,137.33,Buffy,I don't know. She wasn't keen on the fact that
130.89,137.33,Buffy,"I was asking a lot of questions, that's for sure."
137.41,140.57,Anya,You were getting too close to something.
140.57,141.2,Giles,Clearly.
141.29,144.97,Giles,Although one can only imagine
141.29,144.97,Giles,what she'd be so desperate to hide.
148.02,152.07,Giles,Advertise your product or brand here
148.02,152.07,Giles,contact www.OpenSubtitles.org today
215.49,217.96,Buffy,"OK, everybody grab a weapon."
215.49,217.96,Buffy,We've gotta move.
218.05,221.28,Xander,And storm the Initiative?
218.05,221.28,Xander,"Yeah, let's take on those suckers."
221.37,224.01,Buffy,I was thinking more that we'd hide.
224.01,224.76,Xander,Thank God.
224.85,227.29,Giles,"Buffy, I think perhaps"
224.85,227.29,Giles,we should talk about this.
227.37,231.05,Buffy,We need to relocate some place we're less
227.37,231.05,Buffy,likely to be found. We need a plan.
