,5.48089583333333
10 EXT. CEMETARY IN SUNNYDALE - NIGHT,2.19122916666667
AMANDA,6.04464583333333
ANDREW,64.8258541666667
ANYA,35.7440208333333
BUFFY,175.876270833333
CHAO-AHN,10.5807083333333
DAWN,9.68945833333333
GILES,101.052604166667
GILES (V.O.),1.41254166666667
JONATHAN/FIRST,91.489
JONATHAN/FIRST (O.S.),4.58991666666667
KENNEDY,5.845125
LISSA,36.04425
NIKKI/FIRST,18.0356875
PRINCIPAL WOOD,89.9533125
ROBSON,1.45060416666667
SOLDIER,3.0275
SPIKE,37.7628333333333
WILLOW,61.1168958333333
WOMAN,7.74652083333333
WOMAN/LISSA,0.705541666666667
XANDER,82.0622291666667
XANDER (V.O.),4.38420833333333
