2.22,3.7,GILES (V.O.),i>Previously on ''Buffy the Vampire Slayer'':</i>
3.78,4.24,FAITH,Hey.
4.24,5.74,GILES,"Hello, Faith."
5.82,7.97,FAITH,trying to turn girls into an army.
8.06,11.21,BUFFY,"They're potential slayers, just like we were."
11.3,12.33,CALEB,Call me Caleb.
16.86,18.21,5 INT. LIVING ROOM AT BUFFY'S HOUSE - NIGHT,Argh!
16.86,18.21,5 INT. LIVING ROOM AT BUFFY'S HOUSE - NIGHT,i> </i> Xander!
18.3,21.13,ANYA,"l'm not saying it's a happy scenario,"
18.3,21.13,ANYA,but we're dealing with the Big Bad
21.22,22.89,ANYA,that can be any dead person it wants.
22.98,24.86,BUFFY,The bad guys always go where the power is.
24.94,27.29,BUFFY,They're protecting something
24.94,27.29,BUFFY,at the vineyard.
27.38,30.34,BUFFY/FIRST,You realise what will happen
27.38,30.34,BUFFY/FIRST,if the Slayer and her girls get it?
30.42,31.85,CALEB,They won't.
31.94,34.98,DAWN,We have to be together on this.
31.94,34.98,DAWN,So l need you to leave.
35.06,37.05,FAITH,"Now, l'm your boss."
37.14,40.34,SPIKE,There's only one thing
37.14,40.34,SPIKE,l've ever been sure of: you.
40.42,41.65,SPIKE (V.O.),"You're the one, Buffy."
43.98,45.97,BUFFY,Heard you got something of mine.
47.46,50.66,FAITH,Those of you who are coming with me
47.46,50.66,FAITH,"to the arsenal, you know who you are."
50.74,52.3,FAITH,Let's do this thing.
58.02,59.45,FAITH,Get down!
63.02,67.07,CALEB,Advertise your product or brand here
63.02,67.07,CALEB,contact www.OpenSubtitles.org today
68.3,69.12,CALEB,i> </i>
69.12,70.65,FAITH,i> </i> So...
71.22,73.61,CALEB,you found it. Not impressed.
74.3,78.61,CALEB,"Cos the question now, is can you pry it"
74.3,78.61,CALEB,from solid rock before l come over there...
86.38,88.37,CALEB,Darn.
142.58,145.73,CALEB,Before you go hurting yourself
142.58,145.73,CALEB,"with that thing,"
145.82,148.97,CALEB,why don't you do yourself a courtesy
145.82,148.97,CALEB,and hand it over now?
149.06,151.65,BUFFY,Yeah? You want it?
154.34,156.53,CALEB,You don't even know what you got there.
156.62,158.74,BUFFY,l know you're backing away.
163.78,168.38,CALEB,You think wielding some twosided doodad's
163.78,168.38,CALEB,gonna make a difference?
168.46,170.45,BUFFY/FIRST,"Let her go, Caleb."
170.54,172.73,BUFFY/FIRST,l said let her go.
172.82,173.67,BUFFY/FIRST,"l let her go,"
173.67,175.94,CALEB,she slices me open with that thing.
176.02,178.33,BUFFY/FIRST,"No, she doesn't."
178.42,181.62,BUFFY/FIRST,She hasn't got time. She has friends.
181.7,183.89,BUFFY/FIRST,And her friends are in trouble.
183.98,185.78,BUFFY/FIRST,Faith go boom.
185.86,188.66,CALEB,l'm not lettin' her out with that thing.
188.66,189.57,BUFFY/FIRST,Sure you are.
189.66,194.26,BUFFY/FIRST,Then you'll come back for it later.
189.66,194.26,BUFFY/FIRST,When she's got her back turned.
215.58,218.17,AMANDA,"Hey! Hey, Faith? Anybody?"
218.94,220.98,AMANDA,ls anybody here?
218.94,220.98,AMANDA,i> </i>
221.06,223.05,AMANDA,i></i> Me!
226.3,228.89,AMANDA,ls anybody else alive?
226.3,228.89,AMANDA,i> </i>
228.98,232.61,CARIDAD,Hello? Anyone?
228.98,232.61,CARIDAD,Yeah! l'm...
234.34,235.49,VI,l'm here!
243.06,244.13,CARIDAD,Who else we got?
244.13,244.86,VI,Don't know.
244.94,245.54,AMANDA,You OK?
245.54,247.66,VI,l think my arm is broken.
251.14,252.78,VI,l guess l'm lucky.
256.06,257.51,KENNEDY,Where's Faith?
257.51,258.65,VI,Don't know.
259.3,262.43,CARIDAD,We should get out of here. They could...
262.43,263.13,KENNEDY,Find her!
264.82,268.29,KENNEDY,"Oh, God, is she alive?"
264.82,268.29,KENNEDY,We gotta get her outta here.
268.38,269.36,VI,Which way is out?
269.36,271.74,AMANDA,We don't know how many of us are still...
271.82,274.01,AMANDA,i> </i>
271.82,274.01,AMANDA,alive.
274.1,275.02,CARIDAD,What was that?
275.02,277.06,VI,Could've been grinding metal...
277.14,278.85,KENNEDY,"No, it was one of them."
278.85,280.34,CARIDAD,That's not possible.
280.42,281.84,AMANDA,How'd it get in here?
281.84,282.25,VI,Plans?
282.34,284.14,KENNEDY,i></i> Run.
291.06,292.14,CARIDAD,lt's blocked!
292.14,293.05,VI,"Oh, my God!"
293.14,295.92,AMANDA,l told you this wasn't the way!
295.92,298.34,KENNEDY,Up and over. Wounded first!
